judge,n,decided,abstained,accuracy,acc_ci,f1,f1_ci,macro_f1,balanced_acc,ece,brier,parse_failures
J1-gpt,200,200,0,0.75,"[0.69, 0.805]",0.8162,"[0.7636, 0.8612]",0.7128,0.7214,0.1102,0.1853,0
J2-gpt,200,200,0,0.665,"[0.605, 0.725]",0.7373,"[0.6777, 0.7926]",0.6376,0.6607,0.227,0.2631,0
J3-gpt,200,200,0,0.58,"[0.505, 0.65]",0.6667,"[0.5939, 0.7313]",0.5495,0.5667,0.26,0.2966,0
J4,200,200,0,0.765,"[0.705, 0.82]",0.8351,"[0.7845, 0.8772]",0.7132,0.7083,0.1268,0.1901,0
J5-gpt,200,200,0,0.705,"[0.64, 0.765]",0.7774,"[0.7197, 0.8286]",0.6702,0.6845,0.1968,0.2407,0
J1-local,200,200,0,0.76,"[0.705, 0.815]",0.8065,"[0.7521, 0.8571]",0.7453,0.7905,0.1213,0.1792,0
J2-local,200,200,0,0.635,"[0.565, 0.695]",0.6812,"[0.6091, 0.7479]",0.6272,0.6869,0.277,0.2952,0
J5-local,200,197,3,0.6345,"[0.5685, 0.7005]",0.6727,"[0.6009, 0.7368]",0.6295,0.6951,0.2886,0.3052,0
